branch,beta,u0,v0,u_min,u_max,mu1_real,mu1_imag,mu1_abs,mu2_real,mu2_imag,mu2_abs,shooting_residual,liouville_defect,newton_iterations
minus,0.0,-1.7320508075688772,0.0,-1.7320508075688819,-1.732050807568873,0.1926151723035587,0.2716627942293441,0.33301843548071713,0.1926151723035587,-0.2716627942293441,0.33301843548071713,7.878976273893676e-18,5.829337013096847e-12,1
minus,0.01,-1.745499900106285,0.018938863679303634,-1.7552530079026338,-1.7087573632326654,0.19251063143976826,0.27173688588718775,0.333018435479186,0.19251063143976826,-0.27173688588718775,0.333018435479186,1.5543122344752192e-15,4.809555531615217e-12,4
minus,0.02,-1.7588237713013983,0.03790697826171386,-1.7783539307489362,-1.6853826698866146,0.19219667682556124,0.2719590332859796,0.33301843547862897,0.19219667682556124,-0.2719590332859796,0.33301843547862897,1.1102230246251565e-15,4.438560630148913e-12,4
minus,0.03,-1.7720278032036185,0.056888449184927095,-1.801343483224866,-1.6619367047920535,0.1916723119667963,0.27232885119568273,0.3330184354780636,0.1916723119667963,-0.27232885119568273,0.3330184354780636,8.604228440844963e-16,4.062042369135099e-12,4
minus,0.04,-1.7851172858561801,0.07586746308404223,-1.8242114932318274,-1.63842944868335,0.19093587466952638,0.27284568923099123,0.33301843547730464,0.19093587466952638,-0.27284568923099123,0.33301843547730464,1.7763568394002505e-15,3.5564884370842265e-12,4
minus,0.05,-1.7980973844680586,0.09482828390300263,-1.8469476902249042,-1.614870906376074,0.1899850350368114,0.2735086192956213,0.3330184354760793,0.1899850350368114,-0.2735086192956213,0.3330184354760793,4.440892098500626e-16,2.740363491682274e-12,4
minus,0.06,-1.8109731074260862,0.11375524962047456,-1.8695416873615802,-1.5912710921029476,0.18881679277625302,0.2743164179038479,0.33301843547453797,0.18881679277625302,-0.2743164179038479,0.33301843547453797,1.1102230246251565e-15,1.7137957719626229e-12,4
minus,0.07,-1.8237492751123785,0.1326327699794403,-1.8919829654991533,-1.5676386636683175,0.18742747391890568,0.27526754328380354,0.3330184354733574,0.18742747391890568,-0.27526754328380354,0.3330184354733574,8.881784197001252e-16,9.274803147718558e-13,4
minus,0.08,-1.8364304894998182,0.15144532560469082,-1.9142608585047147,-1.5439846587419161,0.18581272710507754,0.2763601071262337,0.33301843547324733,0.18581272710507754,-0.2763601071262337,0.33301843547324733,6.661338147750939e-16,8.541362062075564e-13,4
minus,0.09,-1.849021104530597,0.1701774688661322,-1.9363656431522533,-1.5203192929671956,0.18396751959363694,0.2775918408381735,0.33301843547371524,0.18396751959363694,-0.2775918408381735,0.33301843547371524,4.440892098500626e-16,1.1657896870076456e-12,4
minus,0.1,-1.8615251972988773,0.1888138268350313,-1.9582866261498089,-1.4966515018567605,0.18188613320476194,0.27896005612415115,0.33301843547312804,0.18188613320476194,-0.27896005612415115,0.33301843547312804,8.881784197001252e-16,7.746997487956264e-13,4
minus,0.11,-1.8739465400895976,0.20733910665607866,-1.9800120266459338,-1.472990838639144,0.1795621604407652,0.2804615996951017,0.33301843547421,0.1795621604407652,-0.2804615996951017,0.33301843547421,1.2490009027033011e-15,1.4953316362920077e-12,4
minus,0.12,-1.8862885733505692,0.22573810362847,-2.001530579895377,-1.4493492532691814,0.1769885010143384,0.2820928018841711,0.3330184354749218,0.1769885010143384,-0.2820928018841711,0.3330184354749218,5.551115123125783e-16,1.969452378958181e-12,4
minus,0.13,-1.8985543797185387,0.2439957122633559,-2.022834907209308,-1.4257334976079896,0.17415735912355862,0.28384941893480903,0.3330184354754567,0.17415735912355862,-0.28384941893480903,0.3330184354754567,1.4155343563970746e-15,2.32568131419697e-12,4
minus,0.14,-1.9107466592420697,0.26209694053880406,-2.043910471121382,-1.402156353513918,0.17106024174318832,0.2857265687005549,0.3330184354756219,0.17106024174318832,-0.2857265687005549,0.3330184354756219,4.440892098500626e-16,2.435704415937323e-12,4
minus,0.15,-1.9228677059815142,0.28002692753981384,-2.064747071549488,-1.3786258817845547,0.16768795830581124,0.2877186594675533,0.3330184354755415,0.16768795830581124,-0.2877186594675533,0.3330184354755415,4.440892098500626e-16,2.3821777883625828e-12,4
minus,0.16,-1.9349193862031902,0.297770964611323,-2.085336158663307,-1.3551532146390157,0.16403062211631103,0.28981931159841867,0.33301843547654436,0.16403062211631103,-0.28981931159841867,0.33301843547654436,1.6653345369377348e-15,3.050157348916116e-12,4
minus,0.17,-1.9469031184001209,0.3153145201011987,-2.1056622446722035,-1.3317468729524786,0.160077653875136,0.2920212716519255,0.3330184354767398,0.160077653875136,-0.2920212716519255,0.3330184354767398,8.326672684688674e-16,3.1802754874021844e-12,4
minus,0.18,-1.9588198554301663,0.3326432676938495,-2.125721062726507,-1.3084191695879488,0.15581778769939103,0.2943163186162109,0.33301843547667365,0.15581778769939103,-0.2943163186162109,0.33301843547667365,1.3322676295501878e-15,3.136241266687989e-12,4
minus,0.19,-1.970670069043695,0.34974311827693966,-2.1454942617544104,-1.2851757002439856,0.15123908001960634,0.29669516181181754,0.33301843547725324,0.15123908001960634,-0.29669516181181754,0.33301843547725324,1.3322676295501878e-15,3.522265812350156e-12,4
minus,0.2,-1.9824537371077346,0.36660025520133355,-2.164978959445905,-1.2620311625381606,0.14632892173481385,0.29914732997601906,0.33301843547745896,0.14632892173481385,-0.29914732997601906,0.33301843547745896,1.9984014443252818e-15,3.659281211376708e-12,4
minus,0.21,-1.994170333859436,0.3832011726961881,-2.184157580706335,-1.2389918181419688,0.14107405399320821,0.30166105094574525,0.3330184354773323,0.14107405399320821,-0.30166105094574525,0.3330184354773323,1.6653345369377348e-15,3.574862628141773e-12,4
minus,0.22,-2.00581882347899,0.3995327171381187,-2.203024611534951,-1.2160675657421778,0.13546058793639354,0.30422312121819095,0.3330184354773944,0.13546058793639354,-0.30422312121819095,0.3330184354773944,8.881784197001252e-16,3.616273946960291e-12,4
minus,0.23,-2.0173976572866557,0.41558213076952494,-2.2215680274719913,-1.1932703272574476,0.12947402871697875,0.306818764510448,0.3330184354775615,0.12947402871697875,-0.306818764510448,0.3330184354775615,1.7763568394002505e-15,3.72753217181554e-12,4
