branch,u0,v0,u_min,u_max,mu1_real,mu1_imag,mu1_abs,mu2_real,mu2_imag,mu2_abs,det_monodromy,shooting_residual,liouville_defect,classification
minus,-1.9824537371077346,0.36660025520133355,-2.164978959445905,-1.2620302433827633,0.14632892173481385,0.29914732997601906,0.33301843547745896,0.14632892173481385,-0.29914732997601906,0.33301843547745896,0.11090127836785452,1.9984014443252818e-15,3.659281211376708e-12,stable
zero,-0.09738138015023429,0.017142546208590858,-0.09887613560290318,0.09887613565893602,187.53511061106747,0.0,187.53511061106747,0.0005913627481106687,0.0,0.0005913627481106687,0.11090127837658517,1.89306903486397e-13,1.2389936299150861e-11,unstable
plus,1.4292377917615895,0.34743711586164044,1.2620302433986683,2.164978959494015,0.14632892173517983,0.299147329976179,0.33301843547776344,0.14632892173517983,-0.299147329976179,0.33301843547776344,0.11090127836805733,2.0252688415212106e-12,3.862091202400109e-12,stable
